"Clubs",seller,buyer,sells,buys,PV,ROI,VolumeCash,poidsmarket,achat_moyen,vente_moyen,Pays,Ville,lon,lat
Sporting CP,21,18,269700000,101150000,168550000,166.633712308453,370850000,1.00253273669141,5619444.44444444,12842857.1428571,Portugal,Lisbonne,-9.24763730938512,38.7176610275686
Fiorentina,28,47,359350000,343350000,1.6e+07,4.65996796272026,702700000,1.89963530827304,7305319.14893617,12833928.5714286,Italie,Florence,11.2555757,43.7698712
Villarreal CF,30,42,361640000,370250000,-8610000,-2.32545577312627,731890000,1.97854573185136,8815476.19047619,12054666.6666667,Espagne,Vila-real,-0.0911338,39.9341153
GZ Evergrande,4,16,70900000,164250000,-93350000,-56.8340943683409,235150000,0.635689828860687,10265625,17725000,Chine,Canton,113.287269055288,23.1716284802502
AFC Ajax,28,23,382130000,166100000,216030000,130.060204695966,548230000,1.48205075431127,7221739.13043478,13647500,Pays-Bas,Amsterdam,4.89797550561798,52.3745403
Bayern Munich,21,39,287700000,703900000,-416200000,-59.1277170052564,991600000,2.68062953135555,18048717.9487179,13700000,Allemagne,Munich,11.6882721453022,48.1244372068632
Watford,11,21,115400000,205160000,-89760000,-43.751218561123,320560000,0.866581890451124,9769523.80952381,10490909.0909091,Angleterre,Watford,-0.3957425,51.6553875
Marseille,24,41,268250000,352500000,-84250000,-23.9007092198582,620750000,1.67809679466414,8597560.97560976,11177083.3333333,France,Marseille,5.3699525,43.2961743
Arsenal,30,45,460250000,759030000,-298780000,-39.3633980211586,1219280000,3.29612542859136,16867333.3333333,15341666.6666667,Angleterre,Londres,-0.23432961058324,51.409311188684
Lazio,17,29,226990000,2.26e+08,990000,0.438053097345133,452990000,1.22458488443803,7793103.44827586,13352352.9411765,Italie,Rome,12.4709239436623,41.9994961554733
Sevilla FC,34,47,541100000,381400000,159700000,41.8720503408495,922500000,2.49382890548154,8114893.61702128,15914705.8823529,Espagne,Seville,-5.99905890194951,37.3210465509851
Anzhi,16,20,197500000,229700000,-32200000,-14.018284719199,427200000,1.15486580858722,11485000,12343750,Russie,Makhatchkala,47.5048717,42.9830241
LOSC Lille,27,15,319010000,1.16e+08,203010000,175.008620689655,435010000,1.17597887498485,7733333.33333333,11815185.1851852,France,Lille,3.0706414,50.6305089
Paris SG,25,47,310200000,1125250000,-815050000,-72.4327927127305,1435450000,3.88050591043195,23941489.3617021,12408000,France,Paris,2.33093062725155,48.7611473834243
PSV Eindhoven,22,22,225880000,121800000,104080000,85.4515599343186,347680000,0.939896405265931,5536363.63636364,10267272.7272727,Pays-Bas,Eindhoven,5.478633,51.4392648
Internacional,21,7,207500000,40440000,167060000,413.105835806133,247940000,0.670265516341564,5777142.85714286,9880952.38095238,Brésil,Porto Alegre,-51.2265059346008,-30.0937918421867
Real Sociedad,9,11,163800000,88700000,75100000,84.6674182638106,252500000,0.682592735646709,8063636.36363636,18200000,Espagne,Saint-Sebastien,-1.9838889,43.3224219
Palmeiras,11,3,90500000,21850000,68650000,314.187643020595,112350000,0.303719975643199,7283333.33333333,8227272.72727273,Brésil,Bahia,-41.9811382054269,-12.2643514199162
Man City,37,72,412250000,1695160000,-1282910000,-75.6807616980108,2107410000,5.69704062189794,23543888.8888889,11141891.8918919,Angleterre,Manchester,-2.24536787960808,53.4723842919583
Grêmio,13,3,124840000,15750000,109090000,692.634920634921,140590000,0.380062228532954,5250000,9603076.92307692,Brésil,Porto Alegre,-51.2271175136278,-30.0929510117935
Dinamo Moscow,13,28,1.11e+08,201500000,-90500000,-44.9131513647643,312500000,0.844792989661768,7196428.57142857,8538461.53846154,Russie,Moscou,37.6680053613257,55.6581702772227
VfB Stuttgart,17,18,170900000,96900000,7.4e+07,76.3673890608875,267800000,0.723953800420549,5383333.33333333,10052941.1764706,Allemagne,Stuttgart,9.1800132,48.7784485
Málaga CF,15,7,155500000,55800000,99700000,178.673835125448,211300000,0.571215227889701,7971428.57142857,10366666.6666667,Espagne,Malaga,-4.4216366,36.7213028
Bay. Leverkusen,22,30,272710000,302180000,-29470000,-9.7524654179628,574890000,1.55412173384529,10072666.6666667,12395909.0909091,Allemagne,Leverkusen,6.9881194,51.0324743
OGC Nice,12,7,158400000,4.7e+07,111400000,237.021276595745,205400000,0.555265536244887,6714285.71428571,13200000,France,Nice,7.2683912,43.7009358
Sampdoria,22,21,260740000,162300000,98440000,60.6531115218731,423040000,1.14361992430885,7728571.42857143,11851818.1818182,Italie,Gênes,8.96666254608055,44.3730070482588
CSKA Moscow,13,16,181400000,101900000,79500000,78.01766437684,283300000,0.765855532707773,6368750,13953846.1538462,Russie,Moscou,37.6786997596655,55.8021887391691
Real Betis,12,18,154500000,129200000,25300000,19.5820433436533,283700000,0.76693686773454,7177777.77777778,12875000,Espagne,Seville,-5.95581670886158,37.4425330760364
West Ham,21,49,235200000,488840000,-253640000,-51.8860977006792,724040000,1.95732453195106,9976326.53061225,11200000,Angleterre,Londres,-0.185187733420038,51.5769761916074
1. FC Köln,7,4,83500000,38500000,4.5e+07,116.883116883117,1.22e+08,0.329807183163954,9625000,11928571.4285714,Allemagne,Cologne,6.959974,50.938361
Crystal Palace,6,17,71150000,199320000,-128170000,-64.30363234999,270470000,0.731171711724219,11724705.8823529,11858333.3333333,Angleterre,Londres,-0.0553705534384191,51.4449624627653
Burnley,10,7,89330000,78100000,11230000,14.3790012804097,167430000,0.452619808829023,11157142.8571429,8933000,Angleterre,Burnley,-2.2439196,53.7907262
Sunderland,16,35,157800000,307120000,-149320000,-48.6194321437874,464920000,1.25683570161136,8774857.14285714,9862500,Angleterre,Sunderland,-1.375053,54.9063791
1.FSV Mainz 05,14,6,1.37e+08,35800000,101200000,282.68156424581,172800000,0.467136731563371,5966666.66666667,9785714.28571429,Allemagne,Mayence,8.2762513,50.0012314
