Name;Position;Age;Team_from;League_from;Team_to;League_to;Season;Market_value;Transfer_fee;ROI;PV
Odion Ighalo;Centre-Forward;27;Watford;Premier League;CC Yatai;Super League;2016-2017;12000000;23300000;0.941666666666667;11300000
David Trézéguet;Centre-Forward;22;Monaco;Ligue 1;Juventus;Serie A;2000-2001;NA;23240000;NA;NA
Claudio López;Centre-Forward;25;Valencia CF;LaLiga;Lazio;Serie A;2000-2001;NA;23000000;NA;NA
Fabio Cannavaro;Centre-Back;28;Parma;Serie A;Inter;Serie A;2002-2003;NA;23000000;NA;NA
Santi Cazorla;Central Midfield;26;Villarreal CF;LaLiga;Málaga CF;LaLiga;2011-2012;18000000;23000000;0.277777777777778;5000000
Sadio Mané;Left Winger;22;RB Salzburg;Bundesliga;Southampton;Premier League;2014-2015;7500000;23000000;2.06666666666667;15500000
Marcos Alonso;Left-Back;25;Fiorentina;Serie A;Chelsea;Premier League;2016-2017;9000000;23000000;1.55555555555556;14000000
Marko Pjaca;Left Winger;21;Dinamo Zagreb;1.HNL;Juventus;Serie A;2016-2017;8000000;23000000;1.875;15000000
Leandro Paredes;Defensive Midfield;23;AS Roma;Serie A;Zenit S-Pb;Premier Liga;2017-2018;13000000;23000000;0.769230769230769;10000000
Alassane Pléa;Centre-Forward;25;OGC Nice;Ligue 1;Bor. M'gladbach;1.Bundesliga;2018-2019;18000000;23000000;0.277777777777778;5000000
Morgan Schneiderlin;Defensive Midfield;27;Man Utd;Premier League;Everton;Premier League;2016-2017;28000000;22900000;-0.182142857142857;-5100000
Amauri;Centre-Forward;28;US Palermo;Serie A;Juventus;Serie A;2008-2009;16000000;22800000;0.425;6800000
Stewart Downing;Left Midfield;26;Aston Villa;Premier League;Liverpool;Premier League;2011-2012;12000000;22800000;0.9;10800000
André Ayew;Left Winger;28;West Ham;Premier League;Swansea;Premier League;2017-2018;18000000;22800000;0.266666666666667;4800000
Nathan Aké;Centre-Back;22;Chelsea;Premier League;Bournemouth;Premier League;2017-2018;8000000;22800000;1.85;14800000
Jimmy Floyd Hasselbaink;Centre-Forward;28;Atlético Madrid;LaLiga2;Chelsea;Premier League;2000-2001;NA;22500000;NA;NA
Clarence Seedorf;Central Midfield;26;Inter;Serie A;AC Milan;Serie A;2002-2003;NA;22500000;NA;NA
Francesco Coco;Left-Back;25;AC Milan;Serie A;Inter;Serie A;2002-2003;NA;22500000;NA;NA
Javier Mascherano;Defensive Midfield;24;West Ham;Premier League;Liverpool;Premier League;2008-2009;22500000;22500000;0;0
Breel Embolo;Centre-Forward;19;FC Basel;Super League;FC Schalke 04;1.Bundesliga;2016-2017;20000000;22500000;0.125;2500000
Theo Walcott;Right Winger;28;Arsenal;Premier League;Everton;Premier League;2017-2018;20000000;22500000;0.125;2500000
Cenk Tosun;Centre-Forward;26;Besiktas;Süper Lig;Everton;Premier League;2017-2018;10500000;22500000;1.14285714285714;12000000
Marko Arnautovic;Left Winger;28;Stoke City;Premier League;West Ham;Premier League;2017-2018;15000000;22300000;0.486666666666667;7300000
Matías Almeyda;Defensive Midfield;28;Parma;Serie A;Inter;Serie A;2002-2003;NA;22100000;NA;NA
Vincent Janssen;Centre-Forward;22;AZ Alkmaar;Eredivisie;Spurs;Premier League;2016-2017;6000000;22100000;2.68333333333333;16100000
David Bentley;Right Midfield;23;Blackburn;Premier League;Spurs;Premier League;2008-2009;9000000;22000000;1.44444444444444;13000000
Yoann Gourcuff;Attacking Midfield;24;G. Bordeaux;Ligue 1;Olympique Lyon;Ligue 1;2010-2011;22500000;22000000;-0.0222222222222222;-500000
James Milner;Central Midfield;24;Aston Villa;Premier League;Man City;Premier League;2010-2011;20000000;22000000;0.1;2000000
Bruno Alves;Centre-Back;28;FC Porto;Liga NOS;Zenit S-Pb;Premier Liga;2010-2011;18000000;22000000;0.222222222222222;4000000
Ramires;Central Midfield;23;Benfica;Liga NOS;Chelsea;Premier League;2010-2011;14000000;22000000;0.571428571428571;8000000
André Schürrle;Left Winger;22;Bay. Leverkusen;1.Bundesliga;Chelsea;Premier League;2013-2014;25000000;22000000;-0.12;-3000000
Kevin De Bruyne;Attacking Midfield;22;Chelsea;Premier League;VfL Wolfsburg;1.Bundesliga;2013-2014;15000000;22000000;0.466666666666667;7000000
Mario Mandzukic;Left Winger;28;Bayern Munich;1.Bundesliga;Atlético Madrid;LaLiga;2014-2015;30000000;22000000;-0.266666666666667;-8000000
Aymen Abdennour;Centre-Back;26;Monaco;Ligue 1;Valencia CF;LaLiga;2015-2016;10000000;22000000;1.2;12000000
Raúl Jiménez;Centre-Forward;24;Atlético Madrid;LaLiga;Benfica;Liga NOS;2015-2016;5000000;22000000;3.4;17000000
Mario Götze;Attacking Midfield;24;Bayern Munich;1.Bundesliga;Bor. Dortmund;1.Bundesliga;2016-2017;35000000;22000000;-0.371428571428571;-13000000
Antonio Candreva;Right Winger;29;Lazio;Serie A;Inter;Serie A;2016-2017;23000000;22000000;-0.0434782608695652;-1000000
Hakan Calhanoglu;Left Winger;23;Bay. Leverkusen;1.Bundesliga;AC Milan;Serie A;2017-2018;20000000;22000000;0.1;2000000
Guido Carrillo;Centre-Forward;26;Monaco;Ligue 1;Southampton;Premier League;2017-2018;6000000;22000000;2.66666666666667;16000000
Ricardo Pereira;Right-Back;24;FC Porto;Liga NOS;Leicester;Premier League;2018-2019;20000000;22000000;0.1;2000000
Diogo Dalot;Right-Back;19;FC Porto;Liga NOS;Man Utd;Premier League;2018-2019;15000000;22000000;0.466666666666667;7000000
Alex Meret;Goalkeeper;21;Udinese Calcio;Serie A;SSC Napoli;Serie A;2018-2019;12000000;22000000;0.833333333333333;10000000
Marouane Fellaini;Central Midfield;20;Standard Liège;Jupiler Pro League;Everton;Premier League;2008-2009;7000000;21760000;2.10857142857143;14760000
Sergio Agüero;Centre-Forward;18;Independiente;Torneo Final;Atlético Madrid;LaLiga;2006-2007;5000000;21700000;3.34;16700000
Gerard López;Central Midfield;21;Valencia CF;LaLiga;FC Barcelona;LaLiga;2000-2001;NA;21600000;NA;NA
Juan Sebastián Verón;Central Midfield;28;Man Utd;Premier League;Chelsea;Premier League;2003-2004;NA;21500000;NA;NA
Darren Bent;Centre-Forward;26;Sunderland;Premier League;Aston Villa;Premier League;2010-2011;18000000;21500000;0.194444444444444;3500000
Luis Muriel;Centre-Forward;26;Sampdoria;Serie A;Sevilla FC;LaLiga;2017-2018;17000000;21500000;0.264705882352941;4500000
